final_text,rating,label,aspect
"['ayam', 'kurang', 'gurih', 'telur', 'tidak', 'ada', 'rasa', 'mohon', 'di', 'baik']",3,negatif,rasa
"['porsi', 'banyak', 'tapi', 'agak', 'asin']",5,positif,rasa
"['kecewa', 'sih', 'pesan', 'ada', 'macam', 'malah', 'kirim', 'hanya', 'tolong', 'lah', 'pesan', 'punya', 'langgan', 'itu', 'baca', 'biar', 'tidak', 'salah', 'masa', 'iya', 'bisa', 'pesan', 'kurang']",1,negatif,porsi
"['sangat', 'over', 'rated', 'sih', 'ini', 'lauk', 'nya', 'semua', 'hambar', 'nasi', 'nya', 'pun', 'hanya', 'bau', 'daun', 'salam', 'saja', 'tapi', 'tidak', 'gurih', 'samsek', 'yang', 'paling', 'mind', 'blowing', 'bakwan', 'nya', 'di', 'akun', 'nya', 'bakwan', 'ada', 'logo', 'baik', 'seller', 'karena', 'penasaran', 'ya', 'bilah', 'pas', 'datang', 'bentuk', 'rasa', 'nya', 'sama', 'saja', 'seperti', 'bakwan', 'di', 'angkring', 'mana', 'ribu', 'dapat', 'nya', 'hanya', 'biji']",1,negatif,rasa
"['rasa', 'sesuai', 'sama', 'harga', 'porsi', 'mantap', 'paling', 'terima', 'kasih', 'kakak', 'moga', 'makin', 'laris', 'dan', 'berkah']",5,positif,rasa
"['beli', 'double', 'chiken', 'masa', 'ayam', 'kecil', 'sekali', 'kayak', 'beli']",3,negatif,porsi
"['katsunya', 'potong', 'saja', 'supaya', 'mudah', 'makan', 'dan', 'jangan', 'pakai', 'kemas', 'plastik', 'tadi', 'mleyot', 'aku', 'jadi', 'susah', 'makan', 'hehe', 'lebih', 'baik', 'harga', 'naik', 'sedikit', 'tapi', 'kemas', 'tahan', 'panas', 'kalau', 'rasa', 'masih', 'sama', 'tidak', 'ada', 'yang', 'ubah']",5,positif,rasa
"['nasi', 'goreng', 'enak', 'yang', 'pernah', 'aku', 'pesan', 'lewat', 'gojek']",5,positif,rasa
"['manis', 'nyegrak']",3,negatif,rasa
"['tambah', 'porsi', 'dong']",5,positif,porsi
"['pangsit', 'enak', 'pool']",5,positif,rasa
"['mantap', 'segar', 'rasa', 'jozz', 'porsi', 'cukup', 'kenyang']",5,positif,rasa
"['suka', 'sekali', 'karena', 'pakai', 'kwetiaw', 'basah', 'porsi', 'juga', 'mantap', 'deh']",5,positif,porsi
"['gado', 'gado', 'kurang', 'ijo', 'ijooo']",4,positif,porsi
"['rasa', 'roti', 'sudah', 'enak', 'sekali', 'ya', 'tapi', 'karena', 'ini', 'toppingnya', 'manis', 'dan', 'roti', 'juga', 'manis', 'jadi', 'terlalu', 'lebih', 'sedikit', 'well', 'lanjut', 'waktu', 'i', 'akan', 'order', 'buah', 'savory', 'satu']",5,positif,porsi
"['kemarin', 'beli', 'dari', 'burger', 'king', 'nya', 'kurang', 'paket', 'di', 'pesan', 'gofood', 'sudah', 'benar', 'tapi', 'dari', 'burger', 'kingnya', 'yang', 'salah', 'beri']",5,positif,porsi
"['mungkin', 'bisa', 'tambah', 'timun', 'atau', 'tomat', 'biar', 'segar', 'buat', 'rasa', 'maximal', 'nyaman', 'mulut', 'roti', 'ibu', 'nya', 'lembut', 'dan', 'daging', 'nya', 'ngeuuunaahhh']",5,positif,rasa
"['rasa', 'enak', 'bakso', 'nya', 'mantap', 'besar']",5,positif,porsi
"['terima', 'kasih', 'ya', 'bapak', 'ibu', 'makan', 'enak']",5,positif,rasa
"['overall', 'oke', 'hanya', 'kuah', 'banyak']",4,positif,porsi
"['raga', 'kurang', 'pedas', 'tapi', 'enak', 'sekali', 'murah', 'juga']",4,positif,rasa
"['enak', 'sih', 'tapi', 'banget', 'beli', 'sambel', 'teri', 'porsi', 'isi', 'teri', 'hanya', 'ekor', 'pelit', 'sekali']",5,positif,porsi
['sedap'],5,positif,rasa
"['buah', 'ada', 'yang', 'kurang', 'segar', 'padahal', 'saladnya', 'enaaaak', 'moga', 'kualitas', 'buah', 'selalu', 'beri', 'yang', 'baik', 'ya']",4,positif,porsi
"['selalu', 'enak', 'terima', 'kasih', 'masakan']",5,positif,rasa
"['rasa', 'mie', 'nya', 'tahan', 'walaupun', 'lagi', 'ramai', 'jangan', 'kurang', 'rasa', 'soal', 'makin', 'kesini', 'agak', 'kurang', 'rasa']",4,positif,porsi
"['rasa', 'kopi', 'kurang', 'kuat', 'bagaimana', 'standar', 'sbux']",2,negatif,rasa
"['enak', 'banget', 'porsi', 'juga', 'ngenyangin', 'banget', 'terus', 'bumbu', 'melimpahh']",5,positif,rasa
"['chinese', 'food', 'dekat', 'rumah', 'yang', 'enak', 'sekali']",5,positif,rasa
"['rasa', 'kurang', 'sekali']",2,negatif,rasa
"['seperti', 'untuk', 'gula', 'aren', 'banyak', 'deh', 'jadi', 'bosan', 'kalau', 'yang', 'large', 'coba', 'kurang', 'dikit', 'untuk', 'takar', 'gula', 'aren', 'nya']",5,positif,porsi
"['enak', 'tapi', 'pedas', 'sekali', 'tolong', 'kurang', 'kepedesannya']",5,positif,porsi
"['makan', 'enak', 'sih', 'tapi', 'barusan', 'aku', 'beli', 'nasi', 'campur', 'tongkol', 'datang', 'nasi', 'campur', 'sate', 'ayam', 'apa', 'memang', 'sama', 'menu']",5,positif,rasa
"['kurang', 'bintang', 'karena', 'telur', 'tidak', 'utuh']",4,positif,porsi
"['baru', 'pertama', 'pesan', 'sini', 'enak', 'segar', 'cocok', 'besok', 'pesan', 'sini', 'lagi']",5,positif,rasa
"['kenyang', 'dan', 'enak']",5,positif,porsi
"['mantap', 'suka', 'enak']",5,positif,rasa
"['lamakk', 'nian', 'koha', 'samo', 'rasa', 'sayur', 'nangka', 'rumah', 'awak', 'mantap']",5,positif,rasa
"['kadang', 'bumbu', 'enak', 'kadang', 'hambar']",4,positif,rasa
"['soto', 'enak', 'tapi', 'sayang', 'sekali', 'nasi', 'taruh', 'di', 'plastik']",4,positif,rasa
"['rasa', 'kurang', 'mantap', 'dikit', 'lagi']",4,positif,rasa
"['ban', 'nya', 'kurang', 'besar']",2,negatif,porsi
"['roti', 'choconya', 'beranta', 'rasa', 'tidak', 'enak', 'pertama', 'kali', 'beli', 'toast', 'nya', 'juga', 'tidak', 'enak', 'dulu']",1,negatif,rasa
"['telurny', 'belum', 'resap', 'bumbu']",3,negatif,rasa
"['enak', 'bos', 'mantap']",5,positif,rasa
"['asli', 'tahu', 'kalau', 'pesan', 'sini', 'akan', 'lama', 'kemarin', 'pesan', 'jam', 'tengah', 'datengnya', 'jam', 'tengah', 'untung', 'tidak', 'pingsan', 'duluan', 'tapi', 'tidak', 'apa', 'makan', 'enak']",4,positif,rasa
"['masakan', 'padang', 'favouritku', 'enak', 'rasa', 'dan', 'tidak', 'pernah', 'bosan', 'pesan', 'lagi', 'sini']",5,positif,rasa
"['enakk', 'sekali', 'tapi', 'sena', 'kurang', 'satu', 'pesan', 'pangsit', 'porsi', 'datengnya', 'hanya', 'satu']",4,positif,porsi
"['kuah', 'nya', 'sedikit', 'asin']",2,negatif,rasa
"['choco', 'cheese', 'coklat', 'kurang', 'nendang', 'rasa', 'dan', 'sedikit']",4,positif,rasa
"['nasi', 'enaaak', 'emas', 'superr', 'bumbu', 'resap', 'ayam', 'empuk', 'superrr', 'tahan', 'dan', 'tingkat', 'lagi', 'ya']",5,positif,rasa
"['tidak', 'tahu', 'deh', 'kemarin', 'apes', 'dapat', 'pangsit', 'goreng', 'tidak', 'enak', 'pakai', 'minyak', 'warna', 'hitam', 'apa', 'bagaimana', 'sampai', 'pangsit', 'dalam', 'seperti', 'ada', 'item']",3,negatif,rasa
"['enak', 'hanya', 'nasi', 'kurang', 'banyak', 'terlalu', 'sedikit']",5,positif,rasa
"['harga', 'muraaaaaahhhh', 'sekali', 'dapat', 'kualitas', 'segitu', 'apalagi', 'kalau', 'pakai', 'vocer', 'gojek', 'nasi', 'padang', 'dengan', 'bumbu', 'agak', 'kental', 'agak', 'lho', 'ya', 'menurt', 'aku', 'masih', 'ada', 'padang', 'yang', 'lebih', 'kental']",5,positif,rasa
"['bungkus', 'dengan', 'plastik', 'sedang', 'aku', 'makan', 'di', 'kos', 'teman', 'shngga', 'susah', 'harus', 'cari', 'piring', 'dulu', 'dari', 'ibu', 'bagyo', 'cabang', 'lain', 'bungkus', 'stdknya', 'pakai', 'kertas', 'minyak', 'atau', 'bahkan', 'kotak', 'mikrofoam', 'porsi', 'juga', 'sedikit', 'sangat', 'kecewa', 'aku', 'tidak', 'mau', 'pesan', 'dari', 'cabang', 'ini', 'lagi', 'aku', 'minta', 'cabe', 'juga', 'tidak', 'pedas', 'sama', 'sekali', 'kecewa']",1,negatif,rasa
"['semalem', 'beli', 'mendoan', 'sama', 'nasi', 'ayam', 'geprek', 'over', 'semua', 'mendoan', 'enak', 'tapi', 'nasi', 'yang', 'di', 'kasih', 'tidak', 'mateng', 'jadi', 'mohon', 'maaf', 'sekali', 'aku', 'agak', 'kecewa', 'padahal', 'sudah', 'lapar']",1,negatif,rasa
"['kakak', 'kok', 'kuah', 'asin', 'sekali', 'ya', 'lanjut', 'waktu', 'di', 'cross', 'cek', 'lagi', 'ya', 'belum', 'jual']",3,negatif,rasa
"['saya', 'pikir', 'masakan', 'seperti', 'dulu', 'nyata', 'beda', 'sekali', 'tidak', 'pas', 'semua', 'rasa', 'ayam', 'juga', 'kurang', 'matang', 'goreng', 'dulu', 'pas', 'an', 'enak', 'sekali', 'sekarang', 'malah', 'seperti', 'begini', 'tadi', 'harus', 'goreng', 'ayam', 'lagi']",2,negatif,rasa
"['kurang', 'puas', 'sama', 'rasa', 'nasi', 'sekarang', 'kok', 'nasi', 'hambar', 'terus']",3,negatif,rasa
"['mantap', 'masih', 'panas']",5,positif,rasa
"['order', 'pagi', 'seperti', 'buru', 'ya', 'pizzanya', 'kurang', 'matang']",3,negatif,porsi
"['tidak', 'tahu', 'lagi', 'enak', 'banyak', 'murah', 'recomended', 'pisaan', 'euuyy']",5,positif,porsi
"['rasa', 'enakk', 'tapi', 'friend', 'freshh', 'nya', 'banyak', 'garam', 'lain', 'kali', 'jangan', 'banyak', 'ya', 'garam']",5,positif,rasa
"['buah', 'nanas', 'nya', 'busuk']",4,positif,kebersihan
"['porsi', 'sudah', 'pas', 'kalau', 'belum', 'dikit', 'sekali', 'moga', 'konsisten', 'ya']",5,positif,porsi
"['mantap', 'enak', 'porsi', 'banyak']",5,positif,porsi
"['enak', 'sekali', 'nasi', 'nya', 'cukuppp']",5,positif,rasa
"['bubur', 'enak', 'dan', 'ringan', 'cocok', 'sekali', 'kalau', 'lagi', 'kurang', 'enak', 'badan', 'nasi', 'bakar', 'juga', 'enak', 'mantap', 'lah']",5,positif,rasa
"['air', 'kurang', 'jadi', 'asin']",3,negatif,porsi
"['enak', 'buat', 'makan', 'malam']",5,positif,rasa
"['selalu', 'banyak', 'promonya', 'makanya', 'selalu', 'pesan', 'olive', 'sini']",5,positif,porsi
"['iya', 'sih', 'lumayan', 'cepat', 'tapi', 'daging', 'ayam', 'di', 'toping', 'nya', 'kurang', 'segar', 'deh', 'sudah', 'mulai', 'tidak', 'enak', 'hmm']",3,negatif,rasa
"['nasi', 'keras', 'tempe', 'tidak', 'ada', 'rasa', 'sambal', 'sedikit']",3,negatif,porsi
"['pedesnya', 'kurang', 'nampol']",3,negatif,porsi
"['daging', 'rendangny', 'masih', 'keras', 'sekali', 'susah', 'kunyah', 'jadi', 'tidak', 'makan', 'padahal', 'biasa', 'rendangny', 'paling', 'baik', 'seller', 'enak', 'sekali', 'dan', 'lembut', 'dagingny', 'moga', 'bisa', 'seperti', 'kemarin', 'daging', 'lembut', 'tidak', 'susah', 'makan']",3,negatif,rasa
"['ayam', 'sayap', 'nya', 'kecil', 'sekali', 'parah', 'seperti', 'ayam', 'itik', 'ke']",2,negatif,porsi
"['porsi', 'cukup', 'pas', 'lele', 'terlalu', 'asin', 'tidak', 'terlalu', 'suka', 'asin']",5,positif,rasa
"['bumbu', 'kacang', 'dikiiiitt', 'banget', 'daging', 'sate', 'kecil', 'isi', 'hanya', 'biji', 'yang', 'bagi', 'tengah', 'kasih', 'kulit', 'aduh', 'peliitt', 'sekali', 'dah']",2,negatif,rasa
"['siiip', 'mantap']",5,positif,rasa
"['sudah', 'lama', 'tidak', 'rasai', 'padang', 'enak', 'ini', 'semua', 'masakan', 'enak', 'asih', 'porsi', 'lauk', 'juga', 'tidak', 'pelit', 'mantap']",5,positif,rasa
"['cordon', 'bleu', 'daging', 'keras', 'kering', 'bau']",2,negatif,kebersihan
"['agak', 'ada', 'sedikit', 'bau']",5,positif,kebersihan
"['terima', 'kasih', 'enak', 'sekali', 'makananya']",5,positif,rasa
"['seperti', 'salah', 'tulis', 'di', 'tempat', 'makan', 'masa', 'lv', 'lebih', 'pedas', 'dari', 'lv', 'dan', 'lanjut', 'bisa', 'lebih', 'teliti', 'lagi']",3,negatif,rasa
"['pedas', 'sekali', 'anjaayyy']",5,positif,rasa
"['beef', 'nya', 'empuk', 'sekali', 'rasa', 'nya', 'resap', 'sampai', 'dalam', 'juga']",5,positif,rasa
"['porsi', 'sedikit', 'kalah', 'sama', 'yang', 'sana', 'huhuhu']",3,negatif,porsi
"['minta', 'tidak', 'pedas', 'malah', 'pedas']",2,negatif,rasa
"['bumbu', 'kurang', 'kakak', 'hehehe']",4,positif,rasa
