kode,nama,kategori,protein,lemak,karbohidrat,isi_piringku,energi_kkal_per_100g
FP025,Ayam goreng kentucky dada,Daging,0.8236759294701886,0.3883894643766777,-2.1637680740484226,Lauk-Pauk,288.4
AP005,Nasi beras merah,Serealia,-0.3684319692404936,-0.8697278683163129,0.7878815690638497,Makanan Pokok,144.8
FP036,Beef burger,Daging,0.3271216568827322,0.2157071457780058,0.7878815690638497,Lauk-Pauk,257.9
DP020,Wortel rebus,Sayuran,-1.1203930883104014,-0.8102990199299618,-0.0713347965796267,Sayuran,32.5
DP016,Selada rebus,Sayuran,-0.38888410138838464,-1.0144233146301218,-0.5623447710289109,Sayuran,24.2
DP061,Woku ubi,Sayuran,-0.31141386375750785,0.1517840111310247,0.4149051897346209,Sayuran,142.6
ER023,Durian,Buah,-0.43227121792872597,-0.18528312807526479,0.720125196360453,Buah-buahan,149.0
CP079,Tempe lamtoro,Kacang-Kacangan,0.33154479853212243,-0.8102990199299618,0.5907687364663388,Lauk-Pauk,132.5
GP094,Tumis bandeng,Ikan/Kerang/Udang dll,0.3570985715605164,0.3688130452679101,-1.550279443360397,Lauk-Pauk,188.9
FP080,Soto padang,Daging,0.036645616736776195,0.0959640782603536,0.24951595682902772,Lauk-Pauk,127.0
FP034,Ayam taliwang,Daging,0.5697887472382811,0.439050669109723,-0.609362972857549,Lauk-Pauk,264.5
GP060,Dendeng mujahir goreng,Ikan/Kerang/Udang dll,1.0982263943507466,0.5178167362230932,0.14993746682973322,Lauk-Pauk,576.1
DP010,Daun ubi merah kukus,Sayuran,-0.31141386375750785,-0.9370817561656962,0.33976551949652006,Sayuran,67.1
FP023,Ayam goreng church texas sayap,Daging,0.8214502107663257,0.37430983779220844,-0.9974683040891116,Lauk-Pauk,286.0
CP074,Tempe kacang belimbing,Kacang-Kacangan,0.5529896313264794,0.23198318897017023,0.33565411274293927,Lauk-Pauk,211.6
GP013,Ikan gete goreng,Ikan/Kerang/Udang dll,0.6692866306135968,0.4291722243476195,-2.0043793749088543,Lauk-Pauk,267.8
DP059,Tumis bayam bersantan,Sayuran,-0.7586327394700232,-0.06212537817326831,-0.6342601294614476,Sayuran,53.8
FP040,Bulgogi,Daging,0.3612017143899312,-0.00712942948905433,-1.0423659738787827,Lauk-Pauk,95.3
BP008,Ketela pohon/singkong kukus,Umbi Berpati,-0.8432151889326368,-0.9370817561656962,0.8381665005724487,Makanan Pokok,153.1
DP056,Shabu-shabu,Sayuran,-0.29370641723844143,0.16011209049723862,-1.3895692014838268,Sayuran,88.0
FP027,Ayam goreng Kentuckysayap,Daging,0.8419932972434164,0.35936893156482286,-0.9552237467720678,Lauk-Pauk,286.8
AP089,Nasi gemuk,Serealia,-0.198653715907207,0.19114766283279494,0.6558630804188147,Makanan Pokok,192.0
DP001,Bayam kukus,Sayuran,-0.7995024942232929,-0.7095759810985695,-0.12144573564299083,Sayuran,34.7
FP015,Sapi daging kornet,Daging,0.5141405098509682,0.4984205629443252,-2.353589114465347,Lauk-Pauk,289.0
HP001,Telur ayam dadar,Telur,0.5222474205209955,0.4291722243476195,-1.0423659738787827,Lauk-Pauk,245.4
DP012,Kacang panjang rebus,Sayuran,-0.4793943940693027,-0.8697278683163129,-0.12144573564299083,Sayuran,36.0
DP015,Paria putih kukus,Sayuran,-1.0551154895704522,-1.0144233146301218,-0.45844499449285697,Sayuran,18.6
AP014,Ketupat ketan,Serealia,-0.17057961123129525,-0.029544566924275213,0.8637955753963564,Makanan Pokok,211.8
GP075,Mujahir acar kuning,Ikan/Kerang/Udang dll,0.5602852471411202,0.48067711142686603,0.3013423658570118,Lauk-Pauk,330.2
DP006,Daun kelor rebus,Sayuran,0.05391591022328107,-0.6267545588122707,0.19679448947815653,Sayuran,72.5
HP007,Kalio telur,Telur,0.3271216568827322,0.2986422712011712,0.1797569876726784,Lauk-Pauk,192.8
FP072,Sop konro,Daging,0.15228187578542207,-0.23859839418062118,-0.27891208120394195,Lauk-Pauk,71.0
DP060,Waluh balamak,Sayuran,-1.0551154895704522,-0.6267545588122707,0.07706275310354727,Sayuran,43.7
AP098,Pundut nasi,Serealia,-0.5874716450669404,-0.07081310642862312,0.41834593176670365,Makanan Pokok,104.9
FP038,Beef yakiniku,Daging,0.28986652842083815,-0.5568920181706518,0.5768673995211298,Lauk-Pauk,131.9
FP074,Soto bandung,Daging,-0.184418094907753,-0.3977736172485381,-0.5854120135159101,Lauk-Pauk,42.1
AP001,Nasi,Serealia,-0.3297431244429171,-0.9370817561656962,0.8770570562362707,Makanan Pokok,173.9
GP003,Cumi-cumi goreng,Ikan/Kerang/Udang dll,0.8877227216324212,0.23512356706813448,-2.353589114465347,Lauk-Pauk,253.3
GP005,Ikan bandeng presto,Ikan/Kerang/Udang dll,0.5430277625899483,0.4417982078029154,0.2642379084671204,Lauk-Pauk,296.3
DP053,Sayur sop,Sayuran,-0.7995024942232929,-0.3369584875754552,-1.2556066687973693,Sayuran,27.2
DP019,Terung panjang kukus,Sayuran,-0.6179925028496462,-1.1046765719589209,-0.22548222752971264,Sayuran,27.7
ER002,Anggur hutan,Buah,-1.2722865702708046,-1.0144233146301218,-0.025607844080412365,Buah-buahan,31.0
DP002,Bayam rebus,Sayuran,-0.8432151889326368,-0.7572909194460349,-0.40374973482888277,Sayuran,25.0
DP014,Kangkung rebus,Sayuran,-0.43227121792872597,-0.7572909194460349,-0.5186395950567868,Sayuran,27.8
FP077,Soto jeroan,Daging,0.37719929503227456,-0.053664804729829534,-1.0423659738787827,Lauk-Pauk,91.5
CP078,Tempe koro benguk,Kacang-Kacangan,0.3089241947458365,-0.4967882080373781,0.6318966272615612,Lauk-Pauk,145.3
CP075,Tempe kedelai + jagung,Kacang-Kacangan,0.3849596392494824,0.03337490187434665,0.26904299218013494,Lauk-Pauk,143.1
FP082,Soto pemalang,Daging,-0.2284019231063326,0.013786434739138795,-0.43964792185688273,Lauk-Pauk,75.2
